This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:   407296
Number of nonzeros in Lagrangian Hessian.............:   281600

Total number of variables............................:   112750
                     variables with only lower bounds:    56320
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:   112640
Total number of inequality constraints...............:    14080
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    14080

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 116  1.9573446e+01 6.83e-05 2.06e-01  -3.8 6.21e-01    -  5.96e-02 2.67e-03h  1
 117  1.9522354e+01 1.58e-04 5.12e-01  -3.8 5.25e-01    -  2.52e-01 1.00e+00h  1
 118  1.9487460e+01 1.14e-04 3.66e-01  -3.8 1.35e-01  -0.8 5.56e-01 2.84e-01h  1
 119  1.9434902e+01 1.08e-04 5.74e-01  -3.8 8.07e-01  -1.3 2.90e-01 1.54e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.9420765e+01 3.82e-05 3.69e-01  -3.8 2.54e-01    -  4.30e-01 1.00e+00h  1
 121  1.9374801e+01 2.46e-05 3.51e-01  -3.8 9.78e-02  -0.9 8.78e-01 3.79e-01h  1
 122  1.9286307e+01 6.80e-05 1.22e-01  -3.8 3.10e-01  -1.4 7.83e-01 1.00e+00h  1
 123  1.9236311e+01 5.45e-05 7.22e-02  -3.8 2.57e-01  -0.9 5.05e-01 3.58e-01h  1
 124  1.9284634e+01 3.79e-05 2.31e-02  -3.8 1.46e-01    -  9.65e-01 1.00e+00h  1
 125  1.9222503e+01 2.81e-05 2.29e-02  -3.8 2.31e-01  -1.4 4.63e-01 5.02e-01h  1
 126  1.9169168e+01 4.01e-05 1.86e-01  -3.8 2.77e+00  -1.9 1.14e-01 7.34e-02h  2
 127  1.9116240e+01 1.04e-05 1.94e-02  -3.8 7.15e-02  -0.6 1.00e+00 1.00e+00h  1
 128  1.9052399e+01 2.90e-05 1.10e-01  -3.8 3.85e-01  -1.0 5.52e-01 3.44e-01h  1
 129  1.9074651e+01 6.95e-05 2.48e-01  -3.8 3.30e-01    -  4.67e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.9010061e+01 7.38e-05 2.38e-01  -3.8 1.17e+00  -1.5 2.83e-01 1.39e-01h  1
 131  1.8932285e+01 7.13e-05 1.57e-01  -3.8 4.49e-01  -1.1 3.35e-01 3.36e-01h  1
 132  1.8960033e+01 4.30e-05 1.13e-01  -3.8 1.75e-01    -  7.81e-01 1.00e+00h  1
 133  1.8897352e+01 2.50e-05 1.11e-01  -3.8 5.18e-01  -1.6 2.85e-01 2.60e-01h  1
 134  1.8818064e+01 2.98e-05 1.55e-02  -3.8 2.04e-01  -1.1 1.00e+00 1.00e+00h  1
