This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    23696
Number of nonzeros in Lagrangian Hessian.............:    10560

Total number of variables............................:     7150
                     variables with only lower bounds:     3520
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     7040
Total number of inequality constraints...............:      880
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      880

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 139  1.5506757e+01 2.97e-05 2.19e+01  -3.8 1.73e+00    -  2.05e-02 2.94e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.5475246e+01 3.41e-05 5.34e+01  -3.8 1.90e+02    -  9.48e-05 5.22e-04f  1
 141  1.5448952e+01 3.70e-05 5.94e+01  -3.8 1.51e+01  -1.7 4.69e-03 5.38e-03h  1
 142  1.5456105e+01 1.83e-05 2.19e+01  -3.8 8.08e-02    -  7.91e-02 1.00e+00h  1
 143  1.5422518e+01 7.33e-06 8.22e+00  -3.8 9.26e-02   0.6 6.92e-01 6.10e-01h  1
 144  1.5381491e+01 1.17e-05 8.65e+00  -3.8 1.71e-01   0.1 6.02e-01 1.00e+00h  1
 145  1.5312312e+01 3.17e-05 1.76e+01  -3.8 6.91e-01  -0.4 1.15e-01 3.40e-01h  1
 146  1.5284706e+01 3.13e-05 1.60e+01  -3.8 2.70e-01   0.0 9.44e-02 2.02e-01h  1
 147  1.5271849e+01 3.25e-05 1.36e+01  -3.8 2.91e+00  -0.4 1.36e-02 7.01e-03h  1
 148  1.5240116e+01 3.36e-05 4.80e+01  -3.8 2.74e-01  -0.0 8.54e-02 1.64e-01h  1
 149  1.5221651e+01 3.01e-05 4.29e+01  -3.8 1.50e-01   0.4 1.39e-01 2.15e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.5201286e+01 3.66e-05 6.38e+00  -3.8 2.01e-01  -0.1 7.13e-01 1.00e+00h  1
 151  1.5102032e+01 6.99e-05 2.49e+01  -3.8 1.74e+00  -0.5 6.54e-02 1.87e-01h  1
 152  1.5080358e+01 6.67e-05 2.33e+01  -3.8 6.59e-01  -0.1 2.73e-02 6.02e-02h  1
 153  1.5076078e+01 6.61e-05 2.31e+01  -3.8 1.60e+00    -  1.79e-02 8.24e-03h  1
 154  1.5048382e+01 6.53e-05 2.25e+01  -3.8 3.18e+00    -  2.36e-02 2.71e-02h  1
 155  1.5029484e+01 6.34e-05 2.26e+01  -3.8 1.47e+00    -  6.56e-02 3.44e-02h  1
 156  1.4980832e+01 5.25e-05 7.19e+01  -3.8 6.76e-01  -0.6 5.45e-02 2.24e-01h  1
 157  1.4921165e+01 2.72e-05 2.62e+01  -3.8 3.48e-01  -0.2 3.90e-01 6.01e-01h  1
 158  1.4878780e+01 3.81e-05 3.01e+01  -3.8 2.39e+01  -0.6 2.96e-04 5.45e-03h  1
 159  1.4878430e+01 3.81e-05 2.92e+01  -3.8 4.81e-01    -  4.69e-02 1.49e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.4825735e+01 4.37e-05 3.17e+01  -3.8 8.62e+00    -  2.87e-03 2.29e-02h  1
 161  1.4801091e+01 4.38e-05 2.91e+01  -3.8 3.97e+00  -1.1 5.98e-02 1.91e-02h  1
 162  1.4780092e+01 4.31e-05 2.80e+01  -3.8 2.17e+00    -  2.18e-02 2.63e-02h  1
 163  1.4751907e+01 4.08e-05 4.32e+01  -3.8 9.89e-01    -  3.77e-02 7.21e-02h  1
 164  1.4681305e+01 4.18e-05 1.51e+02  -3.8 1.22e+00  -0.7 2.14e-02 1.95e-01h  1
 165  1.4681131e+01 4.16e-05 1.52e+02  -3.8 1.08e-01    -  2.23e-01 6.23e-03h  1
 166  1.4640825e+01 3.34e-05 2.81e+01  -3.8 1.97e-01    -  3.45e-02 1.00e+00h  1
 167  1.4609216e+01 3.74e-05 2.79e+01  -3.8 2.02e+01  -1.2 9.62e-03 5.34e-03h  1
 168  1.4571290e+01 4.01e-05 2.62e+01  -3.8 1.86e+00  -0.8 1.21e-01 6.26e-02h  1
 169  1.4543450e+01 4.22e-05 2.58e+01  -3.8 4.81e+00    -  1.27e-02 1.56e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.4527081e+01 4.31e-05 3.07e+01  -3.8 7.50e+00    -  1.50e-03 4.43e-03h  1
 171  1.4497722e+01 4.33e-05 7.61e+01  -3.8 6.71e-01  -0.3 3.95e-02 7.40e-02h  1
 172  1.4456167e+01 5.24e-05 6.77e+01  -3.8 6.46e-01   0.1 5.28e-02 1.25e-01h  1
 173  1.4455404e+01 5.22e-05 6.77e+01  -3.8 7.15e-01  -0.4 1.86e-01 3.68e-03h  1
 174  1.4386770e+01 6.36e-05 6.60e+01  -3.8 1.54e+01  -0.9 8.44e-03 1.76e-02h  1
 175  1.4325138e+01 5.45e-05 4.99e+01  -3.8 8.20e-01  -0.4 1.03e-01 2.38e-01h  1
 176  1.4303129e+01 4.93e-05 4.57e+01  -3.8 3.33e-01  -0.0 4.19e-02 1.02e-01h  1
 177  1.4288190e+01 4.92e-05 4.53e+01  -3.8 4.47e+00  -0.5 7.24e-03 4.78e-03h  1
 178  1.4275819e+01 4.68e-05 4.43e+01  -3.8 2.94e-01  -0.1 8.06e-02 5.19e-02h  1
 179  1.4270450e+01 4.67e-05 4.61e+01  -3.8 6.40e+00    -  6.92e-03 3.02e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.4189707e+01 5.04e-05 3.30e+01  -3.8 9.48e-01  -0.5 7.50e-02 3.77e-01h  1
 181  1.4171964e+01 4.37e-05 2.82e+01  -3.8 3.24e-01  -0.1 3.68e-01 1.55e-01h  1
 182  1.4115212e+01 6.10e-05 2.61e+01  -3.8 2.63e+00  -0.6 8.28e-03 6.52e-02h  1
 183  1.4114775e+01 6.10e-05 2.61e+01  -3.8 9.78e-01    -  2.15e-02 7.25e-04h  1
 184  1.4077414e+01 6.09e-05 2.57e+01  -3.8 3.05e+00    -  1.13e-02 4.07e-02h  1
 185  1.4057006e+01 5.97e-05 2.43e+01  -3.8 1.93e+00    -  5.20e-02 2.88e-02h  1
 186  1.4033928e+01 5.75e-05 2.87e+01  -3.8 1.32e+00    -  2.11e-02 4.71e-02h  1
 187  1.3998246e+01 5.86e-05 7.24e+01  -3.8 7.01e+00    -  8.11e-03 1.62e-02h  1
 188  1.3947537e+01 3.28e-05 3.47e+01  -3.8 3.48e-01  -0.2 1.29e-01 5.31e-01h  1
 189  1.3920360e+01 3.25e-05 3.31e+01  -3.8 1.91e+00  -0.6 8.11e-02 4.70e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.3886965e+01 2.21e-05 2.57e+01  -3.8 1.80e-01    -  4.29e-02 1.00e+00h  1
 191  1.3864147e+01 2.19e-05 2.60e+01  -3.8 1.34e+00  -0.2 7.09e-02 2.00e-02h  1
 192  1.3824933e+01 2.50e-05 2.25e+01  -3.8 1.09e+00  -0.7 1.70e-01 1.09e-01h  1
 193  1.3801177e+01 2.64e-05 2.26e+01  -3.8 3.47e+00    -  7.72e-03 1.92e-02h  1
 194  1.3775364e+01 2.91e-05 4.41e+01  -3.8 1.52e+02    -  1.87e-04 5.25e-04f  1
 195  1.3736826e+01 3.53e-05 6.89e+01  -3.8 3.09e+02    -  2.47e-04 3.79e-04f  1
 196  1.3711813e+01 3.83e-05 7.01e+01  -3.8 3.04e+00  -0.3 5.76e-03 1.93e-02f  1
 197  1.3711277e+01 3.83e-05 6.91e+01  -3.8 1.59e+00  -0.7 4.30e-02 1.19e-03h  1
 198  1.3630459e+01 4.52e-05 2.05e+01  -3.8 5.11e-01  -0.3 2.57e-01 6.62e-01h  1
